"","PD_DESC","OFNS_DESC","LAW_CAT_CD","AGE_GROUP","PERP_SEX","PERP_RACE","Latitude","Longitude","YEAR"
"11008","TRAFFIC,UNCLASSIFIED INFRACTION","OTHER TRAFFIC INFRACTION","M","25-44","M","BLACK",40.6836512410001,-74.000304312,2017
"11009","WEAPONS POSSESSION 1 & 2","DANGEROUS WEAPONS","F","25-44","M","BLACK",40.6378044680001,-73.942377197,2017
"11010","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","25-44","M","BLACK",40.671110834,-73.913563363,2017
"11011","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","M","WHITE",40.511586338,-74.249303727,2017
"11012","SEXUAL ABUSE 1","SEX CRIMES","F","25-44","M","BLACK",40.856162957,-73.844397124,2017
"11013","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK",40.6715597780001,-73.932254272,2017
"11014","CONTROLLED SUBSTANCE,POSSESS. 1","DANGEROUS DRUGS","F","25-44","M","WHITE",40.759913549,-73.986291821,2017
"11015","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","BLACK",40.8107727670001,-73.9525915899999,2017
"11016","UNAUTHORIZED USE VEHICLE 3","UNAUTHORIZED USE OF A VEHICLE 3 (UUV)","M","18-24","F","WHITE",40.593870822,-73.969906615,2017
"11017","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","45-64","M","BLACK",40.8223159390001,-73.938579058,2017
"11018","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","WHITE",40.5732061740001,-73.992773428,2017
"11019","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","M","WHITE HISPANIC",40.733300559,-73.987181317,2017
"11020","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","M","WHITE HISPANIC",40.551805232,-74.150575213,2017
"11021","MARIJUANA, POSSESSION","MISCELLANEOUS PENAL LAW","V","18-24","M","WHITE HISPANIC",40.845849038,-73.9335044539999,2017
"11022","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","WHITE HISPANIC",40.812783376,-73.9092393729999,2017
"11023","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","WHITE HISPANIC",40.757240531,-73.9897936369999,2017
"11024","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","<18","M","WHITE",40.733926841,-73.871582398,2017
"11025","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","F","WHITE HISPANIC",40.685138597,-73.991549804,2017
"11026","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","18-24","M","WHITE",40.6322470340001,-74.12043919,2017
"11027","LEWDNESS,PUBLIC","OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV","M","25-44","M","WHITE HISPANIC",40.750927823,-73.992530384,2017
"11028","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","ASIAN / PACIFIC ISLANDER",40.7603961390001,-73.7675025349999,2017
"11029","OBSTR BREATH/CIRCUL","ASSAULT 3 & RELATED OFFENSES","M","45-64","M","ASIAN / PACIFIC ISLANDER",40.676942566,-73.748473098,2017
"11030","CONTROLLED SUBSTANCE,POSSESS. 2","DANGEROUS DRUGS","F","25-44","M","WHITE HISPANIC",40.813948295,-73.9143388159999,2017
"11031","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE",40.761414491,-73.9830354919999,2017
"11032","OBSTR BREATH/CIRCUL","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.6365765030001,-74.078006945,2017
"11033","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE HISPANIC",40.704519831,-73.893470403,2017
"11034","NY STATE LAWS,UNCLASSIFIED FELONY","OTHER STATE LAWS","F","25-44","M","WHITE HISPANIC",40.6214124040001,-74.028923558,2017
"11035","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","45-64","M","BLACK",40.7504307680001,-73.989282176,2017
"11036","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","F","WHITE",40.757240531,-73.9897936369999,2017
"11037","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","45-64","M","WHITE",40.77011044,-73.9878421289999,2017
"11038","FRAUD,UNCLASSIFIED-MISDEMEANOR,PART 1","FRAUDS","M","45-64","M","UNKNOWN",40.715526213,-74.0012387479999,2017
"11039","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","WHITE HISPANIC",40.6908872480001,-73.978787583,2017
"11040","LARCENY,GRAND OF AUTO","GRAND LARCENY OF MOTOR VEHICLE","F","18-24","M","BLACK",40.669702359,-73.887675394,2017
"11041","STOLEN PROPERTY 2,1,POSSESSION,UNCLASSIFIED","POSSESSION OF STOLEN PROPERTY","F","18-24","M","BLACK HISPANIC",40.875871971,-73.901006423,2017
"11042","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","M","BLACK",40.8234629460001,-73.9433834819999,2017
"11043","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","WHITE HISPANIC",40.7230090950001,-73.97808829,2017
"11044","CHILD, ENDANGERING WELFARE","SEX CRIMES","M","25-44","M","BLACK HISPANIC",40.853960274,-73.900120875,2017
"11045","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","18-24","M","WHITE HISPANIC",40.7660024300001,-73.8223158119999,2017
"11046","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE HISPANIC",40.6431541050001,-74.012357433,2017
"11047","UNAUTHORIZED USE VEHICLE 3","UNAUTHORIZED USE OF A VEHICLE 3 (UUV)","M","25-44","M","BLACK",40.6662105020001,-73.932760748,2017
"11048","MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG","CRIMINAL MISCHIEF & RELATED OFFENSES","M","25-44","F","BLACK HISPANIC",40.699255721,-73.939298306,2017
"11049","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","45-64","M","WHITE HISPANIC",40.8635422780001,-73.8942388139999,2017
"11050","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","F","WHITE HISPANIC",40.5741401280001,-74.106007765,2017
"11051","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.6122236950001,-73.997174097,2017
"11052","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","45-64","M","BLACK",40.814050566,-73.9366900529999,2017
"11053","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","18-24","F","WHITE",40.7042258710001,-73.876703398,2017
"11054","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE HISPANIC",40.8377816180001,-73.919457971,2017
"11055","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.686627968,-73.8231799559999,2017
"11056","CONTROLLED SUBSTANCE, INTENT TO SELL 5","DANGEROUS DRUGS","F","18-24","F","WHITE HISPANIC",40.846510852,-73.920987136,2017
"11057","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE HISPANIC",40.6579930660001,-74.000693446,2017
"11058","BAIL JUMPING 3","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","18-24","M","BLACK HISPANIC",40.8180546560001,-73.922458835,2017
"11059","DISORDERLY CONDUCT SUBD 1,2,3,4,5,6,7","DISORDERLY CONDUCT","V","45-64","M","WHITE",40.707124005,-74.0106776869999,2017
"11060","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","45-64","F","BLACK",40.6623216990001,-73.9386542839999,2017
"11061","UNAUTHORIZED USE VEHICLE 3","UNAUTHORIZED USE OF A VEHICLE 3 (UUV)","M","25-44","M","WHITE",40.845233933,-73.9330026769999,2017
"11062","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","WHITE HISPANIC",40.813786421,-73.897590915,2017
"11063","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.797189389,-73.93609932,2017
"11064","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","WHITE HISPANIC",40.637755348,-74.0760194169999,2017
"11065","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.6691678490001,-73.8912846869999,2017
"11066","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.669033626,-73.89756083,2017
"11067","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","<18","F","WHITE HISPANIC",40.751600254,-73.9920430609999,2017
"11068","TRESPASS 3, CRIMINAL","CRIMINAL TRESPASS","M","<18","F","BLACK",40.6378044680001,-73.942377197,2017
"11069","CONTROLLED SUBSTANCE, INTENT TO SELL 5","DANGEROUS DRUGS","F","25-44","M","WHITE",40.760622389,-73.994756504,2017
"11070","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","45-64","F","BLACK",40.8107999050001,-73.9350567019999,2017
"11071","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","45-64","M","WHITE",40.544500413,-74.157362696,2017
"11072","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","BLACK",40.854742994,-73.914373035,2017
"11073","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","18-24","M","BLACK HISPANIC",40.6232268190001,-74.1492269729999,2017
"11074","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.8088671290001,-73.9658502779999,2017
"11075","WEAPONS POSSESSION 1 & 2","DANGEROUS WEAPONS","F","25-44","M","BLACK",40.662002535,-73.9195873039999,2017
"11076","OBSTR BREATH/CIRCUL","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.721184076,-73.979420094,2017
"11077","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","<18","F","BLACK HISPANIC",40.736868993,-73.989706546,2017
"11078","OBSTR BREATH/CIRCUL","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","BLACK",40.8866160430001,-73.86450637,2017
"11079","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.6967780490001,-73.946556396,2017
"11080","CRIMINAL MISCHIEF 4TH, GRAFFITI","CRIMINAL MISCHIEF & RELATED OFFENSES","M","18-24","M","WHITE HISPANIC",40.704519831,-73.893470403,2017
"11081","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","BLACK",40.785874639,-73.9509301529999,2017
"11082","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","45-64","M","WHITE HISPANIC",40.7185640660001,-73.988201454,2017
"11083","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.6232268190001,-74.1492269729999,2017
"11084","TRAFFIC,UNCLASSIFIED MISDEMEANOR","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.7011974170001,-73.807882104,2017
"11085","CONTROLLED SUBSTANCE,SALE 3","DANGEROUS DRUGS","F","45-64","M","BLACK HISPANIC",40.8487440260001,-73.9323376849999,2017
"11086","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","WHITE HISPANIC",40.630250957,-74.163213908,2017
"11087","CONTROLLED SUBSTANCE,POSSESS. 3","DANGEROUS DRUGS","F","18-24","M","ASIAN / PACIFIC ISLANDER",40.6215894530001,-74.022774652,2017
"11088","TRESPASS 3, CRIMINAL","CRIMINAL TRESPASS","M","25-44","M","WHITE HISPANIC",40.8250573450001,-73.868862814,2017
"11089","WEAPONS POSSESSION 3","DANGEROUS WEAPONS","F","<18","M","BLACK",40.6066648550001,-73.756149603,2017
"11090","CONTEMPT,CRIMINAL","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","M","WHITE HISPANIC",40.862184568,-73.923144894,2017
"11091","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","M","BLACK",40.8218452360001,-73.953241278,2017
"11092","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.6960863090001,-73.946430731,2017
"11093","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","BLACK",40.6896482110001,-73.924054122,2017
"11094","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK HISPANIC",40.8474369890001,-73.931395644,2017
"11095","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK",40.675136459,-73.9486178339999,2017
"11096","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.8278199010001,-73.925930756,2017
"11097","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","25-44","M","WHITE HISPANIC",40.7615966270001,-73.9921862589999,2017
"11098","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","25-44","M","BLACK",40.757578112,-73.989544524,2017
"11099","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK",40.8655397480001,-73.86237282,2017
"11100","CRIMINAL MISCHIEF 4TH, GRAFFITI","CRIMINAL MISCHIEF & RELATED OFFENSES","M","25-44","M","WHITE HISPANIC",40.7005151160001,-73.899463564,2017
"11101","RAPE 1","RAPE","F","25-44","M","BLACK",40.823101299,-73.8696904609999,2017
"11102","ALCOHOLIC BEVERAGE CONTROL LAW","ALCOHOLIC BEVERAGE CONTROL LAW","M","25-44","M","BLACK",40.7638086040001,-73.988724098,2017
"11103","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","F","BLACK",40.8823427090001,-73.8275813,2017
"11104","CONTROLLED SUBSTANCE, INTENT TO SELL 5","DANGEROUS DRUGS","F","25-44","F","WHITE HISPANIC",40.8152205330001,-73.881804825,2017
"11105","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","ASIAN / PACIFIC ISLANDER",40.732372271,-73.9828624749999,2017
"11106","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.853587401,-73.9005913559999,2017
"11107","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK HISPANIC",40.840234138,-73.9176841139999,2017
"11108","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","M","BLACK",40.6935217440001,-73.965458591,2017
"11109","TRESPASS 4,CRIMINAL","MISCELLANEOUS PENAL LAW","V","45-64","M","WHITE",40.7626370090001,-73.974212721,2017
"11110","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","BLACK",40.700302155,-73.80760338,2017
"11111","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","UNKNOWN",40.8851542700001,-73.845739704,2017
"11112","OBSTR BREATH/CIRCUL","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","ASIAN / PACIFIC ISLANDER",40.757379417,-73.834019371,2017
"11113","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.872010543,-73.8893151079999,2017
"11114","CHILD, ENDANGERING WELFARE","SEX CRIMES","M","25-44","M","WHITE HISPANIC",40.6581934320001,-74.0010322429999,2017
"11115","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","F","WHITE HISPANIC",40.763131109,-73.928713708,2017
"11116","TAMPERING 1,CRIMINAL","CRIMINAL MISCHIEF & RELATED OFFENSES","F","<18","F","BLACK HISPANIC",40.8407838580001,-73.936252607,2017
"11117","MISCHIEF,CRIMINAL,    UNCL 2ND DEG 3RD DEG","CRIMINAL MISCHIEF & RELATED OFFENSES","F","18-24","M","WHITE",40.577587416,-73.9763360709999,2017
"11118","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","18-24","M","WHITE HISPANIC",40.649722028,-73.895280484,2017
"11119","MENACING,UNCLASSIFIED","ASSAULT 3 & RELATED OFFENSES","M","45-64","M","WHITE HISPANIC",40.6479675,-73.959550581,2017
"11120","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","45-64","M","BLACK",40.8240747400001,-73.9087109009999,2017
"11121","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","45-64","M","WHITE",40.6022161660001,-74.002950799,2017
"11122","ADM.CODE,UNCLASSIFIED VIOLATION","ADMINISTRATIVE CODE","V","25-44","M","WHITE HISPANIC",40.639565947,-74.017858834,2017
"11123","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","25-44","M","WHITE",40.742962354,-73.955274248,2017
"11124","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","<18","F","BLACK",40.690866375,-73.9858480569999,2017
"11125","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.6909709600001,-73.9549413129999,2017
"11126","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","BLACK",40.6714116630001,-73.8815117239999,2017
"11127","OBSTR BREATH/CIRCUL","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.815929553,-73.9451673569999,2017
"11128","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.8353194470001,-73.9420399049999,2017
"11129","CONTROLLED SUBSTANCE, POSSESSION 4","DANGEROUS DRUGS","F","25-44","M","WHITE HISPANIC",40.6389841760001,-74.171252305,2017
"11130","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","F","WHITE HISPANIC",40.754989552,-73.8444349379999,2017
"11131","UNAUTHORIZED USE VEHICLE 2","MISCELLANEOUS PENAL LAW","F","18-24","M","BLACK HISPANIC",40.8232320710001,-73.905257901,2017
"11132","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","25-44","M","BLACK",40.7197367150001,-73.9750049359999,2017
"11133","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","45-64","F","BLACK",40.7893478930001,-73.947352413,2017
"11134","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","25-44","M","WHITE HISPANIC",40.684521337,-73.909381493,2017
"11135","LARCENY,GRAND OF AUTO","GRAND LARCENY OF MOTOR VEHICLE","F","18-24","M","BLACK HISPANIC",40.8237207600001,-73.878989527,2017
"11136","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","BLACK",40.8298821390001,-73.9367581,2017
"11137","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","F","WHITE HISPANIC",40.7504307680001,-73.989282176,2017
"11138","MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG","CRIMINAL MISCHIEF & RELATED OFFENSES","M","45-64","M","WHITE HISPANIC",40.7992718610001,-73.930033055,2017
"11139","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","<18","F","BLACK HISPANIC",40.853587401,-73.9005913559999,2017
"11140","RAPE 2","RAPE","F","25-44","M","WHITE HISPANIC",40.816391847,-73.895296414,2017
"11141","PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","M","BLACK",40.5968075120001,-73.799810392,2017
"11142","SEXUAL ABUSE 3,2","FORCIBLE TOUCHING","M","25-44","M","WHITE HISPANIC",40.726882624,-73.952871348,2017
"11143","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK HISPANIC",40.8495048980001,-73.9287584969999,2017
"11144","TRESPASS 2, CRIMINAL","CRIMINAL TRESPASS","M","25-44","M","WHITE HISPANIC",40.802765805,-73.939572343,2017
"11145","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","M","WHITE",40.8262821320001,-73.920707638,2017
"11146","TRAFFIC,UNCLASSIFIED MISDEMEANOR","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.667860889,-73.9210221279999,2017
"11147","CRIMINAL MISCHIEF 4TH, GRAFFITI","CRIMINAL MISCHIEF & RELATED OFFENSES","M","18-24","M","WHITE",40.7206088610001,-73.954755329,2017
"11148","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","45-64","M","WHITE HISPANIC",40.6803986090001,-73.949558393,2017
"11149","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","BLACK",40.737082284,-73.9829622999999,2017
"11150","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE HISPANIC",40.851111636,-73.9352559119999,2017
"11151","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","F","WHITE",40.744985243,-73.989918216,2017
"11152","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","F","UNKNOWN",40.873671035,-73.9080136489999,2017
"11153","FRAUD,UNCLASSIFIED-MISDEMEANOR,PART 1","FRAUDS","M","25-44","M","BLACK",40.6189581580001,-73.926879329,2017
"11154","FORGERY,ETC.-MISD.","OFFENSES INVOLVING FRAUD","M","45-64","M","BLACK",40.627670848,-74.07623489,2017
"11155","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","25-44","M","BLACK",40.794515091,-73.966323533,2017
"11156","CONTROLLED SUBSTANCE, POSSESSION 5","DANGEROUS DRUGS","F","25-44","M","ASIAN / PACIFIC ISLANDER",40.6450459260001,-73.999630283,2017
"11157","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK",40.67601191,-73.7612749589999,2017
"11158","MISCHIEF,CRIMINAL,    UNCL 2ND","CRIMINAL MISCHIEF & RELATED OFFENSES","F","25-44","M","BLACK",40.640406999,-74.0836576889999,2017
"11159","ASSAULT 2,1,PEACE OFFICER","FELONY ASSAULT","F","25-44","M","BLACK",40.8347413490001,-73.860065901,2017
"11160","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","F","WHITE HISPANIC",40.736868993,-73.989706546,2017
"11161","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","25-44","M","BLACK",40.671941046,-73.947524395,2017
"11162","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.757240531,-73.9897936369999,2017
"11163","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","45-64","M","BLACK",40.8489868400001,-73.896969241,2017
"11164","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.63437535,-73.888826536,2017
"11165","DISORDERLY CONDUCT SUBD 1,2,3,4,5,6,7","DISORDERLY CONDUCT","V","65+","F","BLACK",40.7128031760001,-74.007446595,2017
"11166","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","<18","M","BLACK",40.576645978,-73.9764803959999,2017
"11167","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","<18","M","WHITE",40.6347118510001,-74.1065399409999,2017
"11168","BRIBERY,PUBLIC ADMINISTRATION","MISCELLANEOUS PENAL LAW","F","18-24","M","BLACK",40.662930353,-73.9197051319999,2017
"11169","WEAPONS POSSESSION 3","DANGEROUS WEAPONS","F","25-44","M","WHITE HISPANIC",40.683134538,-73.987432531,2017
"11170","TRESPASS 3, CRIMINAL","CRIMINAL TRESPASS","M","25-44","M","BLACK",40.6728359040001,-73.838418766,2017
"11171","RECKLESS ENDANGERMENT 1","MISCELLANEOUS PENAL LAW","F","25-44","M","BLACK",40.678690891,-73.905297397,2017
"11172","AGGRAVATED HARASSMENT 2","OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV","M","25-44","M","BLACK",40.8377816180001,-73.919457971,2017
"11173","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE HISPANIC",40.862707191,-73.902808351,2017
"11174","WEAPONS POSSESSION 3","DANGEROUS WEAPONS","F","25-44","M","WHITE HISPANIC",40.6766274510001,-73.85789926,2017
"11175","TRAFFIC,UNCLASSIFIED MISDEMEANOR","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.729054637,-74.0107244979999,2017
"11176","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","65+","F","WHITE HISPANIC",40.565395053,-74.111918153,2017
"11177","MISCHIEF,CRIMINAL,    UNCL 2ND","CRIMINAL MISCHIEF & RELATED OFFENSES","F","18-24","F","BLACK",40.831388571,-73.9312351259999,2017
"11178","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","BLACK",40.6528906180001,-73.9647840709999,2017
"11179","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","<18","F","WHITE",40.6553451140001,-73.951512704,2017
"11180","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.6741310080001,-73.880803906,2017
"11181","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.6887433680001,-73.944987081,2017
"11182","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK",40.8803985480001,-73.8638536509999,2017
"11183","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.7074473640001,-73.792141768,2017
"11184","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","WHITE",40.726965067,-73.953116629,2017
"11185","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","25-44","M","BLACK",40.864533548,-73.926620172,2017
"11186","TRAFFIC,UNCLASSIFIED INFRACTION","OTHER TRAFFIC INFRACTION","M","25-44","M","BLACK",40.678878851,-73.92164722,2017
"11187","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","M","BLACK",40.698330894,-73.9174950729999,2017
"11188","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","45-64","M","BLACK",40.68864217,-73.794789387,2017
"11189","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.837464593,-73.85821708,2017
